0 0 0 P 0 Y 0
X X X X X X X
X X X H X X B
X X X X C X X
X X X X G X X
B B B B R R G
B X X B R G G
B B B B R C R
H R R R R X X
B G G G B B X
B G B B B G B
B C C C R R X
C C H G R R R
B B G G B X X
B X G B B X X
B B R R B X G
R G Y B B B R
X X X X X X X
N N H N N N N
B B B G G G R
B B R G G G R
B C C G C C R
B B B B B H X
G R R G C C C
S S S G C R C
S B S S B B H
S G S B R C X
S B B B G R B
H R R G G C C
C B N N N N N
X X B X X X X
B B B B B B B
B H B B B B B
B B B G R G B
B B G G R R B
G G G H G X X
X B R G G X X
G G G G R G B
G G H G R X B
N N R R G B G
X X B B B X X
- - - - - - -
